FechaCont,ItemCode,Quantity,PrecioUnitarioSinDescuento,DescuentoUnitario,PrecioUnitario,SubTotal,Tipo,ParteTecnica,Tipo_norm,ParteTecnica_norm,ProveedorAnonimo,NaveAnonima
2022-07-22,PS00006,1.0,21572.18,21572.18,21572.18,21572.18,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2024-05-31,PS00006,1.0,,,,21500.0,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,REMOLCADORES,SERVICIOS DE MANTENIMIENTO,PROV_036,NAVE_010
2023-10-25,PS00006,1.0,0.0,0.0,21400.0,21400.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_037,NAVE_002
2021-01-27,P004603,1.0,0.0,0.0,20905.8,20905.8,BUQUE,REPUESTOS MECANICOS,BUQUE,REPUESTOS MECANICOS,PROV_022,NAVE_002
2024-08-14,900573,548.0,,,,20824.0,BUQUE,PINTURAS,BUQUE,PINTURAS,PROV_038,NAVE_002
2024-09-20,900517,20.0,,,,20824.0,BUQUE,PINTURAS,BUQUE,PINTURAS,PROV_039,NAVE_011
2024-05-14,PS00006,1.0,,,,20672.0,BUQUE,SERVICIOS DE MANTENIMIENTO,BUQUE,SERVICIOS DE MANTENIMIENTO,PROV_002,NAVE_011
2023-12-08,PS00006,1.0,0.0,0.0,20273.67,20273.67,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_004
2025-06-01,306132,2.0,,,,19962.0,BUQUE,REPUESTOS ELECTRICOS,BUQUE,REPUESTOS ELECTRICOS,PROV_012,NAVE_001
2022-07-22,PS00012,1.0,19803.75,19803.75,19803.75,19803.75,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_009
2023-12-08,PS00006,1.0,0.0,0.0,19629.7,19629.7,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,REMOLCADOR,SERVICIOS DE MANTENIMIENTO,PROV_009,NAVE_004
